"Area","Sexo","Comprimento","Aneis"
"B","I",0.465,11
"B","I",0.47,8
"B","I",NA,NA
"B","I",NA,NA
"B","I",0.475,8
"B","I",NA,NA
"B","I",NA,NA
"B","I",0.48,9
"B","I",0.48,8
"B","I",0.48,8
"B","I",0.495,8
"B","I",0.495,7
"B","M",0.495,8
"B","I",0.5,9
"B","M",0.5,9
"B","I",0.5,9
"B","I",0.5,9
"B","I",0.5,7
"B","I",0.5,9
"B","I",0.505,8
"B","I",0.505,7
"B","I",0.505,8
"B","I",0.515,7
"B","I",0.515,13
"B","I",NA,NA
"B","I",0.52,10
"B","I",0.52,9
"B","I",0.525,9
"B","M",0.525,9
"B","I",0.53,9
"B","I",0.53,10
"B","I",0.53,9
"B","I",0.53,9
"B","I",0.535,9
"B","I",0.535,8
"B","F",NA,NA
"B","M",0.535,9
"B","F",0.54,10
"B","I",0.54,9
"B","I",0.545,8
"B","F",0.545,9
"B","I",0.545,10
"B","I",0.545,8
"B","I",0.55,11
"B","F",0.55,9
"B","M",0.55,9
"B","I",0.55,10
"B","I",0.55,9
"B","M",0.555,9
"B","I",NA,NA
"B","I",0.555,9
"B","I",0.555,9
"B","I",0.56,9
"B","I",0.56,9
"B","F",0.56,10
"B","I",NA,NA
"B","I",0.565,11
"B","F",0.565,8
"B","M",0.565,8
"B","M",0.565,11
"B","I",NA,NA
"B","I",0.57,8
"B","F",0.57,9
"B","M",NA,NA
"B","I",0.57,10
"B","M",0.57,9
"B","F",0.575,10
"B","F",0.575,9
"B","M",0.575,10
"B","M",0.58,10
"B","M",0.58,10
"B","F",0.58,8
"B","M",0.585,9
"B","M",0.585,10
"B","I",0.585,10
"B","M",0.585,10
"B","M",0.585,10
"B","M",NA,NA
"B","M",0.585,8
"B","I",0.59,9
"B","M",NA,NA
"B","M",0.59,10
"B","F",0.595,10
"B","F",0.595,12
"B","M",0.6,10
"B","M",NA,NA
"B","I",0.6,10
"B","F",0.6,11
"B","F",0.6,10
"B","M",0.6,11
"B","I",0.605,11
"B","M",0.605,10
"B","I",0.605,11
"B","F",0.605,9
"B","F",0.605,12
"B","M",0.61,10
"B","M",0.61,12
"B","M",NA,NA
"B","I",0.61,9
"B","M",NA,NA
"B","M",0.61,10
"B","F",NA,NA
"B","M",NA,NA
"B","M",0.615,10
"B","F",0.615,12
"B","M",0.615,10
"B","M",0.615,9
"B","F",0.615,10
"B","M",0.62,10
"B","M",0.62,12
"B","F",0.62,10
"B","F",NA,NA
"B","M",0.625,9
"B","F",0.625,11
"B","F",0.625,9
"B","F",0.625,12
"B","F",0.63,9
"B","I",0.63,11
"B","M",0.63,12
"B","I",0.63,10
"B","M",0.63,12
"B","M",0.635,10
"B","F",0.635,9
"B","F",0.635,9
"B","M",NA,NA
"B","M",0.635,10
"B","M",0.64,15
"B","M",0.64,10
"B","M",NA,NA
"B","M",NA,NA
"B","M",0.645,11
"B","F",0.65,11
"B","F",0.65,11
"B","M",0.65,11
"B","M",0.65,9
"B","F",0.65,10
"B","F",0.655,10
"B","M",0.655,13
"B","F",0.655,10
"B","M",0.655,10
"B","F",0.66,10
"B","F",0.66,10
"B","F",0.665,10
"B","F",NA,NA
"B","F",0.67,10
"B","M",NA,NA
"B","M",0.685,9
"B","F",0.695,11
"B","F",0.7,12
"B","M",NA,NA
"B","M",NA,NA
"B","F",0.705,12
"B","F",0.71,11
"B","F",0.72,13
"B","M",0.72,12
"B","F",NA,NA
"B","F",0.73,11
"B","F",0.735,12
"B","F",0.745,9
"B","F",0.75,14
"B","F",0.815,14
"B","I",0.14,3
"B","I",0.23,4
"B","I",0.365,7
"B","I",0.365,5
"B","I",0.37,6
"B","I",0.375,7
"B","I",0.385,5
"B","I",0.395,5
"B","I",0.4,6
"B","I",0.4,7
"B","I",NA,NA
"B","I",0.405,7
"B","I",0.405,6
"B","I",0.41,5
"B","M",0.415,9
"B","I",0.425,6
"B","I",0.43,6
"B","I",NA,NA
"B","M",0.44,8
"B","I",0.44,9
"B","M",0.45,6
"B","I",NA,NA
"B","I",0.46,8
"B","I",NA,NA
"B","I",NA,NA
"B","I",0.47,6
"B","M",0.475,8
"B","I",0.475,7
"B","F",0.475,7
"B","I",0.48,7
"B","I",0.485,6
"B","M",0.485,8
"B","M",NA,NA
"B","F",0.495,7
"B","M",0.505,9
"B","F",0.505,9
"B","I",0.515,8
"B","M",0.515,8
"B","I",0.515,7
"B","M",0.52,8
"B","M",NA,NA
"B","I",0.53,9
"B","M",NA,NA
"B","F",0.545,9
"B","F",NA,NA
"B","M",0.55,9
"B","F",0.56,8
"B","F",NA,NA
"B","M",NA,NA
"B","M",0.575,9
"B","M",0.575,8
"B","F",0.58,9
"B","F",0.58,9
"B","M",0.585,8
"B","M",0.59,8
"B","F",0.59,9
"B","F",0.59,8
"B","F",0.595,9
"B","M",0.6,8
"B","M",0.6,9
"B","F",0.605,11
"B","F",NA,NA
"B","F",0.605,9
"B","F",0.61,11
"B","I",0.615,8
"B","M",0.62,10
"B","F",0.62,8
"B","M",0.62,9
"B","M",0.625,10
"B","M",0.625,11
"B","M",0.63,9
"B","F",0.63,10
"B","M",0.63,9
"B","M",0.63,11
"B","F",0.63,10
"B","F",0.635,10
"B","M",0.635,8
"B","F",0.64,9
"B","F",0.645,10
"B","M",0.645,11
"B","F",0.645,11
"B","F",0.65,10
"B","M",0.65,10
"B","F",0.65,9
"B","M",0.65,8
"B","F",0.655,11
"B","M",0.655,11
"B","M",0.66,10
"B","F",0.665,10
"B","M",0.67,11
"B","M",0.67,10
"B","M",0.67,10
"B","F",0.68,12
"B","M",NA,NA
"B","M",NA,NA
"B","F",0.7,11
"B","M",0.7,11
"B","M",0.705,10
"B","M",0.72,12
"B","M",0.725,13
"B","M",0.74,10
"B","M",0.75,11
"B","I",0.21,5
"B","I",0.285,5
"B","I",0.295,6
"B","I",0.3,6
"B","I",NA,NA
"B","I",0.335,5
"B","I",0.35,5
"B","I",NA,NA
"B","I",0.355,7
"B","I",0.36,8
"B","I",0.36,7
"B","I",0.36,7
"B","I",0.365,7
"B","I",0.37,6
"B","I",0.375,7
"B","I",0.38,7
"B","I",0.38,6
"B","I",NA,NA
"B","I",0.385,7
"B","I",NA,NA
"B","I",0.39,7
"B","I",0.39,7
"B","I",NA,NA
"B","I",0.41,8
"B","I",0.41,8
"B","I",0.415,7
"B","I",0.425,8
"B","I",0.425,7
"B","I",0.435,7
"B","I",0.435,6
"B","I",0.45,8
"B","I",0.45,7
"B","I",NA,NA
"B","I",0.46,7
"B","I",0.46,7
"B","I",0.465,9
"B","I",NA,NA
"B","I",0.47,8
"B","I",0.475,8
"B","M",0.475,7
"B","I",0.475,8
"B","I",0.48,9
"B","I",0.48,8
"B","M",0.48,8
"B","I",0.485,7
"B","I",0.49,8
"B","I",0.49,8
"B","I",0.495,8
"B","I",NA,NA
"B","I",NA,NA
"B","I",0.5,8
"B","I",0.5,9
"B","I",0.51,7
"B","F",0.515,6
"B","I",0.515,9
"B","I",NA,NA
"B","I",0.515,8
"B","I",0.515,8
"B","I",0.52,9
"B","I",0.52,7
"B","M",0.525,8
"B","I",0.525,9
"B","I",0.525,8
"B","I",0.525,7
"B","M",0.525,9
"B","I",0.53,7
"B","I",NA,NA
"B","I",NA,NA
"B","I",NA,NA
"B","I",0.535,7
"B","I",0.54,9
"B","I",0.54,9
"B","I",NA,NA
"B","M",0.54,10
"B","I",0.54,9
"B","I",0.54,10
"B","I",0.54,8
"B","I",0.545,9
"B","I",0.545,8
"B","I",0.545,8
"B","M",0.55,10
"B","I",0.55,9
"B","I",NA,NA
"B","I",0.55,8
"B","I",0.55,8
"B","I",0.555,9
"B","I",0.555,8
"B","I",0.555,11
"B","I",0.56,10
"B","I",0.56,8
"B","M",0.56,10
"B","I",0.565,9
"B","F",0.565,9
"B","M",0.565,9
"B","M",0.565,10
"B","F",0.57,8
"B","M",0.57,9
"B","I",0.57,9
"B","I",0.57,10
"B","I",0.57,9
"B","I",NA,NA
"B","M",NA,NA
"B","I",NA,NA
"B","F",0.575,10
"B","I",0.575,9
"B","M",0.575,10
"B","F",NA,NA
"B","I",0.575,9
"B","I",NA,NA
"B","F",0.575,8
"B","M",0.575,9
"B","M",0.575,13
"B","F",0.58,8
"B","M",0.58,10
"B","M",0.58,10
"B","I",0.58,9
"B","F",0.585,10
"B","M",NA,NA
"B","I",0.59,10
"B","I",NA,NA
"B","F",0.595,8
"B","M",0.595,10
"B","M",0.595,10
"B","I",0.595,8
"B","F",0.6,8
"B","F",0.6,9
"B","M",NA,NA
"B","I",0.6,8
"B","F",0.6,10
"B","M",0.6,9
"B","M",0.6,10
"B","F",0.605,9
"B","M",NA,NA
"B","I",0.605,9
"B","F",0.605,8
"B","F",0.605,9
"B","F",0.605,11
"B","M",0.61,10
"B","F",0.61,10
"B","F",0.61,12
"B","M",0.61,9
"B","F",0.61,10
"B","I",NA,NA
"B","M",0.61,9
"B","F",NA,NA
"B","M",0.615,10
"B","M",0.615,9
"B","I",0.62,12
"B","F",0.62,12
"B","M",0.62,13
"B","F",0.62,11
"B","I",0.62,11
"B","F",0.62,12
"B","I",0.62,9
"B","I",NA,NA
"B","M",0.62,12
"B","F",0.62,9
"B","M",0.625,11
"B","M",0.625,10
"B","M",0.625,9
"B","I",0.625,12
"B","F",NA,NA
"B","I",0.625,9
"B","M",0.63,9
"B","F",0.63,8
"B","M",0.63,11
"B","M",0.63,10
"B","M",0.63,11
"B","I",NA,NA
"B","M",0.635,12
"B","F",NA,NA
"B","F",0.635,9
"B","F",0.64,10
"B","M",0.64,10
"B","M",0.64,11
"B","M",0.645,10
"B","M",0.645,12
"B","M",NA,NA
"B","M",0.645,9
"B","M",0.645,10
"B","M",0.645,9
"B","F",NA,NA
"B","M",0.645,10
"B","F",0.645,10
"B","M",0.645,9
"B","F",0.645,12
"B","F",0.65,9
"B","M",0.65,11
"B","M",0.65,11
"B","M",0.65,9
"B","M",0.655,10
"B","F",0.655,9
"B","F",0.655,12
"B","F",0.655,11
"B","M",0.66,9
"B","F",0.66,12
"B","M",0.66,10
"B","M",0.66,14
"B","M",0.665,11
"B","M",0.665,11
"B","F",0.665,11
"B","M",0.665,12
"B","M",0.665,9
"B","M",NA,NA
"B","M",0.67,11
"B","F",0.67,13
"B","F",0.67,10
"B","F",0.67,11
"B","M",0.675,13
"B","F",0.675,10
"B","M",0.68,10
"B","F",0.68,11
"B","M",0.685,11
"B","F",0.685,11
"B","F",0.69,12
"B","M",0.7,10
"B","F",0.7,15
"B","F",0.705,11
"B","M",0.71,11
"B","F",0.71,12
"B","F",0.71,10
"B","M",0.71,11
"B","M",NA,NA
"C","M",0.72,13
"C","F",0.72,7
"C","F",0.725,14
"C","F",0.73,11
"C","M",0.735,11
"C","F",0.74,12
"C","F",0.75,11
"C","M",0.75,12
"C","M",0.77,12
"C","M",0.775,12
"C","I",0.275,5
"C","I",0.375,6
"C","F",NA,NA
"C","M",0.39,7
"C","I",0.435,8
"C","M",0.445,7
"C","I",0.455,6
"C","I",0.455,8
"C","I",0.455,8
"C","I",0.465,10
"C","M",0.465,7
"C","I",0.485,8
"C","M",0.485,9
"C","I",0.485,9
"C","F",0.49,8
"C","M",0.5,9
"C","M",NA,NA
"C","M",0.515,8
"C","M",NA,NA
"C","M",0.525,7
"C","M",0.53,8
"C","F",0.535,8
"C","I",0.535,8
"C","I",0.545,8
"C","F",NA,NA
"C","F",0.545,9
"C","F",NA,NA
"C","M",NA,NA
"C","M",0.57,9
"C","M",0.575,10
"C","I",0.575,10
"C","F",0.58,10
"C","M",0.585,10
"C","I",NA,NA
"C","M",0.6,11
"C","M",0.6,9
"C","M",0.605,9
"C","M",NA,NA
"C","F",NA,NA
"C","F",0.615,10
"C","M",0.62,10
"C","M",0.625,9
"C","M",0.625,11
"C","M",NA,NA
"C","F",0.635,10
"C","F",0.64,8
"C","M",0.645,9
"C","M",NA,NA
"C","M",0.65,10
"C","F",0.655,9
"C","M",0.655,10
"C","F",0.665,11
"C","F",0.675,10
"C","F",0.685,9
"C","F",0.695,10
"C","M",0.695,11
"C","F",0.705,13
"C","F",0.72,9
"C","M",0.72,11
"C","M",NA,NA
"C","I",NA,NA
"C","I",0.24,4
"C","I",0.31,7
"C","I",0.34,6
"C","I",0.35,7
"C","I",0.365,6
"C","I",0.365,7
"C","I",0.365,6
"C","I",0.39,8
"C","I",0.405,6
"C","I",0.41,7
"C","I",0.41,7
"C","I",0.415,6
"C","I",0.415,6
"C","I",0.415,8
"C","I",NA,NA
"C","I",0.43,8
"C","I",NA,NA
"C","I",0.435,7
"C","I",0.435,8
"C","I",0.435,7
"C","I",0.445,8
"C","I",0.465,7
"C","I",NA,NA
"C","I",0.475,9
"C","I",0.485,7
"C","I",0.485,8
"C","I",0.485,9
"C","I",0.495,8
"C","I",0.495,8
"C","I",NA,NA
"C","I",0.5,9
"C","I",0.505,11
"C","I",NA,NA
"C","F",0.51,10
"C","I",0.515,10
"C","I",NA,NA
"C","M",NA,NA
"C","I",0.52,8
"C","I",0.52,9
"C","I",0.52,9
"C","I",0.52,7
"C","I",0.52,10
"C","I",0.525,9
"C","I",0.525,8
"C","I",0.525,9
"C","I",NA,NA
"C","I",0.53,9
"C","I",0.53,9
"C","I",NA,NA
"C","I",0.535,9
"C","F",0.54,9
"C","I",0.54,9
"C","I",0.54,8
"C","I",0.545,10
"C","I",0.545,9
"C","I",0.55,10
"C","I",0.55,6
"C","M",0.555,8
"C","M",0.555,8
"C","M",0.555,7
"C","I",0.555,9
"C","M",0.555,9
"C","I",0.56,9
"C","F",0.565,11
"C","M",NA,NA
"C","M",0.565,11
"C","I",0.565,9
"C","M",0.565,9
"C","I",0.565,10
"C","M",0.57,11
"C","M",0.57,11
"C","M",0.57,9
"C","M",0.57,13
"C","F",0.57,9
"C","M",0.575,9
"C","M",0.575,9
"C","M",0.575,10
"C","M",NA,NA
"C","M",0.575,10
"C","F",0.575,9
"C","I",0.575,10
"C","I",0.575,11
"C","F",0.575,9
"C","M",NA,NA
"C","F",0.58,9
"C","F",0.58,10
"C","M",NA,NA
"C","I",0.58,10
"C","M",0.58,9
"C","M",0.595,10
"C","F",0.6,11
"C","M",0.6,11
"C","M",0.6,10
"C","F",NA,NA
"C","I",0.605,10
"C","F",0.605,9
"C","M",0.605,10
"C","M",0.61,8
"C","F",0.61,10
"C","F",0.61,8
"C","F",0.61,11
"C","M",0.615,11
"C","M",0.615,9
"C","F",0.615,12
"C","M",0.615,10
"C","M",0.62,11
"C","M",0.62,9
"C","F",0.62,11
"C","M",NA,NA
"C","M",0.62,9
"C","M",0.62,12
"C","M",0.625,11
"C","M",0.625,9
"C","M",0.625,10
"C","F",0.625,11
"C","F",0.625,11
"C","F",0.625,11
"C","M",0.63,9
"C","F",0.635,11
"C","F",0.635,11
"C","F",NA,NA
"C","M",0.635,12
"C","M",0.635,12
"C","M",0.635,10
"C","M",0.64,11
"C","F",0.64,10
"C","F",0.64,10
"C","I",0.64,10
"C","M",NA,NA
"C","F",NA,NA
"C","F",0.645,12
"C","M",0.645,11
"C","F",0.645,16
"C","I",0.65,10
"C","F",0.65,13
"C","F",0.65,10
"C","F",0.655,11
"C","F",0.655,10
"C","M",0.655,9
"C","F",NA,NA
"C","M",0.66,11
"C","F",0.665,10
"C","M",NA,NA
"C","M",NA,NA
"C","F",0.67,12
"C","M",NA,NA
"C","F",NA,NA
"C","M",0.68,12
"C","M",0.68,10
"C","M",0.685,10
"C","M",0.69,11
"C","M",0.695,13
"C","F",0.7,13
"C","M",0.7,12
"C","M",0.7,13
"C","F",0.705,10
"C","F",0.72,12
"C","M",0.72,11
"C","F",NA,NA
"C","F",0.75,11
"C","M",0.76,13
"C","I",0.135,4
"C","I",0.16,4
"C","I",0.21,5
"C","I",0.28,6
"C","I",0.28,7
"C","I",0.285,6
"C","I",0.29,5
"C","I",0.29,6
"C","I",0.29,6
"C","I",0.32,6
"C","I",0.325,7
"C","I",0.335,6
"C","I",0.35,7
"C","I",NA,NA
"C","I",0.355,9
"C","I",0.36,6
"C","I",0.36,7
"C","I",0.375,6
"C","I",0.375,7
"C","I",0.395,7
"C","I",0.405,7
"C","I",0.415,8
"C","I",0.425,7
"C","I",0.43,8
"C","I",NA,NA
"C","M",0.45,8
"C","I",0.46,7
"C","M",NA,NA
"C","I",0.47,10
"C","I",0.475,8
"C","M",0.505,9
"C","M",NA,NA
"C","M",0.505,10
"C","I",NA,NA
"C","M",0.515,9
"C","M",0.525,9
"C","F",0.53,9
"C","F",0.53,9
"C","M",0.545,11
"C","F",0.55,10
"C","F",0.56,9
"C","M",0.565,9
"C","F",0.57,10
"C","M",0.58,9
"C","M",0.59,10
"C","F",0.6,10
"C","M",0.605,12
"C","M",0.61,10
"C","F",0.625,14
"C","M",0.66,9
"C","I",0.255,5
"C","I",NA,NA
"C","I",0.28,5
"C","I",0.285,6
"C","I",0.32,8
"C","I",0.325,8
"C","I",0.385,8
"C","I",0.395,7
"C","F",0.4,7
"C","I",NA,NA
"C","I",0.415,7
"C","I",0.42,6
"C","I",0.44,9
"C","I",NA,NA
"C","M",0.45,8
"C","F",0.455,8
"C","M",NA,NA
"C","M",0.46,7
"C","M",NA,NA
"C","I",0.465,9
"C","F",0.475,7
"C","I",0.48,8
"C","M",0.485,8
"C","I",NA,NA
"C","M",0.5,9
"C","F",0.5,8
"C","M",0.505,7
"C","M",0.525,8
"C","M",0.535,8
"C","F",0.535,8
"C","F",0.54,10
"C","F",0.54,9
"C","F",0.545,9
"C","M",0.55,9
"C","I",NA,NA
"C","F",NA,NA
"C","M",0.58,8
"C","F",0.58,7
"C","F",0.585,11
"C","M",0.595,9
"C","F",0.6,10
"C","F",0.61,8
"C","M",0.61,8
"C","F",NA,NA
"C","M",0.645,9
"C","M",0.65,8
"C","F",0.665,10
"C","M",0.685,11
"C","F",0.69,12
"C","F",0.705,10
"C","F",0.71,10
"C","M",0.72,11
"C","F",0.72,12
"C","F",0.73,10
"C","M",0.775,17
"C","F",0.505,8
"C","M",0.53,10
"C","F",0.505,11
"C","I",0.405,7
"C","M",0.415,7
"C","M",0.5,11
"C","M",0.425,7
"C","M",0.47,8
"C","F",0.4,10
"C","I",0.37,10
"C","M",0.5,19
"C","I",0.41,9
"C","M",0.375,9
"C","F",0.49,11
"C","M",0.585,10
"C","M",0.595,14
"C","F",0.675,15
"C","M",0.665,27
"C","M",0.62,13
"C","I",0.325,5
"C","I",0.455,9
"C","M",0.525,8
"C","I",0.385,7
"C","I",0.13,4
"C","I",0.18,3
"C","I",0.31,6
"C","F",0.375,7
"C","F",0.48,8
"C","I",0.455,9
"C","M",0.425,7
"C","I",0.475,9
"C","F",0.435,11
"C","F",0.29,6
"C","M",0.385,7
"C","M",NA,NA
"C","F",0.5,10
"C","I",0.4,7
"C","M",0.62,12
"C","M",NA,NA
"C","M",0.585,9
"C","M",0.32,6
"C","F",0.52,10
"C","M",0.44,9
"C","F",0.44,8
"C","M",0.565,12
"C","F",NA,NA
"C","F",0.59,10
"C","F",0.57,16
"C","M",NA,NA
"C","F",0.45,10
"C","I",NA,NA
"C","I",0.46,9
"C","M",0.47,10
"C","M",0.455,9
"C","F",0.415,9
"C","M",0.465,11
"C","M",0.46,12
"C","M",0.415,8
"C","M",0.27,7
"C","M",0.445,10
"C","F",NA,NA
"C","F",0.4,8
"C","I",0.28,5
"C","M",0.55,10
"C","M",0.58,16
"C","M",0.61,12
"C","M",0.62,17
"C","M",0.56,14
"C","F",0.64,12
"C","M",0.69,19
"C","F",0.715,17
"C","F",0.71,11
"C","F",0.55,9
"C","M",0.375,5
"C","F",0.61,9
"C","I",0.38,6
"C","F",0.37,5
"C","M",0.335,6
"C","I",0.165,4
"C","M",0.285,7
"C","I",0.19,6
"C","I",0.215,5
"C","M",NA,NA
"C","F",0.645,13
"C","M",0.575,12
"C","F",0.57,20
"C","F",0.58,14
"C","F",0.595,15
"C","F",0.595,14
"C","F",0.625,21
"C","M",0.535,16
"C","M",0.55,13
"C","M",0.495,6
"C","I",NA,NA
"C","M",0.445,9
"C","F",NA,NA
"C","M",0.495,14
"C","M",0.47,12
"C","F",NA,NA
"C","M",0.58,11
"C","M",0.645,15
"C","F",0.575,14
"C","I",0.215,6
"C","I",0.43,13
"C","I",0.26,5
"C","I",0.37,11
"C","I",0.405,10
"C","I",0.27,6
"C","F",0.68,21
"C","F",0.65,13
"C","F",0.645,25
"C","M",0.57,19
"C","M",0.615,18
"C","M",0.42,7
"C","I",0.275,6
"C","F",0.29,5
"C","M",0.42,8
"C","F",0.625,16
"C","F",0.55,27
"C","M",0.66,18
"C","M",NA,NA
"C","F",0.595,13
"C","M",0.63,17
"C","F",0.43,8
"C","F",0.455,10
"C","I",0.33,7
"C","F",0.515,13
"C","M",0.495,14
"C","F",0.485,13
"C","F",0.535,8
"C","M",0.58,17
"C","F",0.625,13
"C","F",0.555,14
"C","F",0.55,9
"C","M",0.59,13
"C","I",0.355,7
"C","I",0.275,7
"C","F",0.505,12
"C","M",0.37,7
"C","M",0.555,13
"C","F",0.505,9
"C","F",0.56,9
"C","M",0.595,17
"C","F",NA,NA
"C","M",NA,NA
"C","F",0.56,15
"C","M",0.585,17
"C","I",NA,NA
"C","F",0.46,8
"C","M",0.415,12
"C","F",0.435,11
"C","F",0.475,7
"C","M",NA,NA
"C","I",0.355,11
"C","M",NA,NA
"C","F",0.38,10
"C","F",0.47,9
"C","M",0.36,6
"C","F",0.585,12
"C","M",0.655,11
"C","M",0.6,13
"C","F",0.57,14
"C","F",0.645,11
"C","M",0.65,14
"C","M",0.51,12
"C","M",0.52,8
"C","M",0.495,13
"C","M",0.43,8
"C","F",0.59,13
"C","M",0.55,10
"C","M",0.585,11
"C","F",NA,NA
"C","F",0.62,13
"C","I",0.59,14
"C","F",0.72,13
"C","F",NA,NA
"C","F",0.61,15
"C","F",0.545,13
"C","M",0.57,12
"C","F",0.6,18
"C","F",0.52,14
"C","M",0.635,15
"C","F",0.67,13
"C","M",0.695,15
"C","M",0.655,20
"C","F",NA,NA
"C","F",0.6,19
"C","M",0.51,9
"C","M",0.525,10
"C","M",0.44,9
"C","I",0.485,8
"C","F",0.495,10
"C","I",0.435,7
"C","I",0.405,9
"C","I",0.42,9
"C","F",NA,NA
"C","F",0.385,7
"C","I",0.33,6
"C","F",0.58,10
"C","I",0.325,6
"C","M",0.475,10
"C","F",0.38,9
"C","I",0.34,6
"C","M",0.525,12
"C","F",0.52,10
"C","F",0.535,13
"C","M",0.475,8
"C","I",0.415,7
"C","I",0.495,8
"C","F",0.48,10
"C","F",0.52,10
"C","M",0.46,9
"C","F",0.58,11
"C","M",0.59,11
"C","F",0.55,23
"C","F",0.65,12
"C","F",0.465,16
"C","M",0.455,11
"C","M",0.47,13
"C","F",0.435,13
"C","M",0.35,7
"C","I",0.315,8
"C","M",0.595,16
"C","F",0.58,14
"C","M",0.575,17
"C","M",0.535,13
"C","M",0.515,13
"C","F",0.505,12
"C","F",0.505,15
"C","I",0.4,10
"C","M",0.49,14
"C","M",0.53,12
"C","I",0.395,8
"C","F",0.665,17
"C","F",0.415,10
"C","M",NA,NA
"C","M",0.475,13
"C","F",0.525,15
"C","I",0.48,15
"C","I",0.42,9
"C","M",0.59,15
"C","F",0.515,9
"C","M",NA,NA
"C","F",0.8,23
"C","M",0.61,23
"C","F",0.565,18
"C","M",0.56,11
"C","M",0.655,17
"C","M",0.64,17
"C","F",0.59,11
"C","I",0.31,7
"C","I",0.255,6
"C","I",0.17,6
"C","M",0.67,21
"C","F",0.71,17
"C","F",0.56,13
"C","M",0.505,11
"C","M",0.525,16
"C","F",0.45,9
"C","F",0.515,12
"C","M",NA,NA
"C","M",0.7,18
"C","F",0.72,17
"C","M",0.635,11
"C","M",0.555,13
"C","M",0.575,13
"C","M",0.585,17
"C","F",0.61,20
"C","F",0.645,13
"C","F",0.545,11
"C","M",0.55,12
"C","F",0.66,18
"C","M",0.57,18
"C","F",0.6,15
"C","F",NA,NA
"C","M",0.695,19
"C","M",0.65,15
"C","F",NA,NA
"C","I",0.56,12
"C","I",0.42,8
"C","M",0.18,3
"C","F",0.405,12
"C","F",0.5,12
"C","I",NA,NA
"C","M",0.34,10
"C","F",0.43,8
"C","I",0.535,12
"C","I",0.415,12
"C","F",0.36,10
"C","M",0.175,5
"C","M",0.155,5
"C","I",0.525,11
"C","F",0.525,16
"C","F",0.44,11
"C","F",0.45,12
"C","F",0.485,14
"C","I",0.47,11
"C","I",0.515,10
"C","M",0.42,11
"C","F",0.455,16
"C","M",NA,NA
"C","M",0.33,10
"C","I",0.3,7
"C","I",0.625,14
"C","I",0.61,14
"C","I",0.625,14
"C","I",0.635,17
"C","I",0.5,14
"C","F",0.53,17
"C","I",0.445,13
"C","F",0.585,12
"C","I",0.44,16
"C","M",0.29,10
"C","I",0.555,15
"C","I",0.655,15
"C","F",0.58,10
"C","I",0.625,12
"C","I",0.62,15
"C","F",0.64,8
"C","F",NA,NA
"C","I",NA,NA
"C","M",0.31,7
"C","F",0.505,12
"C","I",0.42,9
"C","M",0.4,10
"C","M",0.425,18
"C","M",NA,NA
"C","F",NA,NA
"C","F",0.465,10
"C","M",NA,NA
"C","I",0.52,15
"C","F",0.475,12
"C","F",0.41,10
"C","M",0.26,6
"C","I",NA,NA
"C","I",0.565,14
"C","M",NA,NA
"C","F",0.53,10
"C","M",0.34,9
"C","I",0.52,11
"C","F",0.635,18
"C","F",0.61,11
"C","F",0.66,16
"C","I",0.635,16
"C","F",NA,NA
"C","M",0.515,23
"C","I",NA,NA
"C","F",0.515,16
"C","F",0.345,9
"C","M",0.465,13
"C","M",0.54,10
"C","M",0.475,9
"C","F",0.445,11
"C","M",0.5,9
"C","M",0.5,12
"C","F",0.55,14
"C","I",0.275,6
"C","F",NA,NA
"C","F",0.37,9
"C","F",0.42,10
"C","M",0.35,10
"C","M",0.395,9
"C","I",0.325,8
"C","I",0.275,5
"C","I",0.235,6
"C","I",0.25,5
"C","I",0.25,5
"C","I",0.2,4
"C","F",0.585,20
"C","M",0.445,14
"C","F",0.5,13
"C","M",0.44,8
"C","M",0.515,17
"C","F",0.52,11
"C","M",0.5,11
"C","M",NA,NA
"C","M",0.51,16
"C","F",0.37,8
"C","M",0.54,13
"C","M",0.615,11
"C","M",0.565,20
"C","M",0.645,14
"C","F",0.615,14
"C","M",0.605,14
"C","F",NA,NA
"C","M",0.645,18
"C","M",0.57,13
"C","F",0.47,8
"C","F",0.5,14
"C","F",0.52,13
"C","M",0.39,8
"C","M",0.52,12
"C","F",0.54,14
"C","M",0.46,14
"C","I",NA,NA
"C","F",0.49,13
"C","F",0.63,11
"C","M",NA,NA
"C","M",NA,NA
"C","M",NA,NA
"C","F",0.515,10
"C","F",0.475,11
"C","I",0.42,8
"C","M",NA,NA
"C","M",0.45,12
"C","F",0.52,15
"C","M",0.505,12
"C","M",0.495,15
"C","M",0.54,19
"C","F",0.48,12
"C","F",0.33,9
"C","I",0.285,5
"C","I",0.3,6
"C","I",0.31,6
"C","I",0.34,6
"C","I",0.375,7
"C","I",0.415,7
"C","I",0.415,6
"C","I",0.415,6
"C","I",0.42,8
"C","I",0.425,6
"C","M",0.465,8
"C","F",0.465,8
"C","I",0.47,8
"C","F",0.47,8
"C","I",0.475,10
"C","M",0.48,7
"C","M",0.5,8
"C","I",0.505,7
"C","M",0.525,9
"C","M",0.54,9
"C","M",0.545,11
"C","F",0.565,9
"C","M",0.58,11
"C","M",0.59,9
"C","M",NA,NA
"C","M",0.595,10
"C","F",0.6,9
"C","F",0.6,8
"C","F",NA,NA
"C","M",0.605,10
"C","F",0.625,10
"C","M",0.63,10
"C","M",0.64,12
"C","F",0.64,11
"C","F",0.655,12
"C","I",0.66,11
