"","dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"10333","25-39",0,"belted",0,"m",24,"driver",1,3
"10366","55+",0,"belted",0,"m",18,"driver",0,4
"10418","40-54",0,"belted",1,"m",57,"driver",0,4
"10426","25-39",0,"belted",1,"f",49,"driver",0,4
"10466","10-24",0,"none",0,"m",38,"driver",0,4
"10469","40-54",0,"none",1,"m",40,"pass",0,4
"10480","25-39",0,"belted",0,"f",37,"pass",1,4
"10516","25-39",0,"none",0,"f",74,"pass",0,4
"10528","40-54",0,"none",0,"f",58,"driver",1,4
"10529","40-54",0,"belted",0,"f",80,"pass",1,4
"10539","25-39",0,"none",1,"m",24,"driver",0,4
"10564","25-39",0,"belted",0,"m",26,"driver",0,4
"10570","25-39",0,"belted",0,"m",80,"driver",1,4
"10581","40-54",0,"belted",0,"m",24,"driver",0,4
"10582","40-54",0,"belted",0,"m",20,"pass",0,4
"10602","25-39",0,"belted",1,"f",87,"driver",1,3
"10623","25-39",0,"none",1,"f",21,"pass",1,4
"10633","40-54",0,"none",1,"m",27,"driver",1,4
"10634","25-39",0,"none",1,"f",36,"driver",0,4
"10653","55+",0,"none",0,"m",47,"driver",1,4
"10657","55+",0,"none",1,"m",46,"driver",0,4
"10664","40-54",0,"belted",0,"f",25,"pass",0,4
"10672","10-24",0,"none",0,"m",84,"pass",0,3
"10674","55+",0,"none",0,"m",32,"driver",0,4
"10687","55+",0,"none",1,"m",44,"pass",0,4
"10694","25-39",0,"none",0,"m",22,"driver",0,4
"10705","25-39",0,"belted",0,"f",70,"driver",0,2
"10707","25-39",0,"none",1,"m",88,"driver",1,3
"10720","55+",0,"belted",1,"m",20,"driver",0,4
"10727","40-54",0,"belted",1,"f",47,"driver",0,4
"10750","40-54",0,"none",0,"m",34,"driver",0,4
"10770","10-24",0,"none",0,"f",16,"driver",0,4
"10789","55+",0,"belted",0,"f",43,"driver",0,4
"10796","55+",0,"belted",1,"m",58,"pass",0,4
"10806","55+",0,"none",0,"m",84,"driver",1,4
"10828","40-54",0,"belted",0,"f",60,"driver",0,4
"10835","40-54",0,"belted",0,"f",21,"driver",0,4
"10850","55+",0,"none",1,"f",38,"driver",0,4
"10855","25-39",0,"none",1,"m",38,"pass",0,4
"10866","55+",0,"belted",1,"m",48,"driver",0,4
"10870","55+",0,"belted",1,"f",16,"driver",0,4
"10882","25-39",0,"none",0,"m",25,"driver",0,4
"10883","55+",0,"none",0,"m",20,"driver",0,4
"10891","25-39",0,"none",0,"m",18,"driver",0,4
"10912","55+",0,"none",1,"f",80,"driver",1,4
"10940","25-39",0,"none",0,"f",37,"driver",0,4
"10941","25-39",0,"none",0,"m",40,"pass",0,4
"11029","10-24",0,"none",1,"m",65,"driver",0,4
"11071","55+",0,"belted",1,"f",56,"driver",1,4
"11074","25-39",0,"belted",0,"f",61,"driver",0,4
"11083","55+",0,"none",1,"m",23,"driver",0,4
"11159","40-54",0,"none",1,"m",22,"driver",0,4
"11174","25-39",0,"none",0,"m",17,"driver",0,4
"11201","25-39",0,"none",0,"m",69,"driver",1,4
"11211","55+",0,"none",1,"m",29,"driver",1,4
"11220","40-54",0,"none",0,"m",45,"driver",0,4
"11228","55+",0,"belted",1,"m",43,"driver",0,4
"11240","25-39",0,"none",1,"m",37,"pass",0,4
"11305","25-39",0,"none",0,"f",39,"pass",0,4
"11375","25-39",0,"none",0,"f",65,"pass",0,4
"11376","25-39",0,"none",1,"m",24,"driver",1,4
"11382","55+",0,"none",0,"m",47,"driver",0,4
"11432","55+",0,"none",1,"m",35,"driver",0,4
"11444","40-54",0,"belted",0,"m",24,"pass",0,4
"11446","55+",0,"none",1,"m",19,"pass",0,4
"11493","40-54",0,"none",0,"m",18,"driver",0,4
"11527","55+",0,"none",0,"m",42,"driver",0,4
"11580","40-54",0,"none",1,"m",40,"driver",0,4
"11600","55+",0,"belted",0,"f",32,"driver",0,4
"11677","55+",0,"none",0,"m",19,"driver",0,4
"11681","40-54",0,"belted",0,"m",36,"driver",0,4
"11693","40-54",0,"belted",0,"f",21,"pass",1,4
"11699","25-39",0,"none",0,"f",24,"driver",0,4
"11724","25-39",0,"belted",0,"f",62,"pass",1,4
"11725","55+",0,"none",1,"m",45,"driver",0,4
"11737","55+",0,"none",1,"m",68,"driver",0,4
"11743","55+",0,"belted",0,"f",57,"driver",0,4
"11773","55+",0,"none",1,"m",55,"driver",0,4
"11774","55+",0,"none",1,"f",64,"pass",0,4
"11799","10-24",0,"belted",1,"f",62,"driver",1,3
"11814","55+",0,"none",1,"m",30,"driver",1,4
"11835","40-54",0,"belted",0,"f",48,"driver",1,4
"11843","25-39",0,"belted",0,"m",70,"pass",0,4
"11860","10-24",0,"none",1,"m",45,"driver",0,4
"11902","25-39",0,"none",0,"f",56,"driver",0,4
"11927","25-39",0,"none",1,"f",21,"driver",1,4
"11929","25-39",0,"none",0,"f",75,"driver",1,4
"11960","10-24",0,"none",1,"f",23,"driver",1,4
"11979","55+",0,"none",1,"m",34,"pass",0,4
"11996","10-24",0,"none",0,"m",62,"driver",0,4
"12005","25-39",0,"belted",0,"f",65,"driver",0,4
"12026","55+",0,"belted",0,"f",22,"driver",0,4
"12078","40-54",0,"none",0,"f",91,"driver",0,4
"12131","55+",0,"belted",1,"f",22,"driver",0,4
"12149","55+",0,"belted",1,"f",47,"driver",0,4
"12150","55+",0,"belted",0,"f",18,"driver",0,4
"12169","25-39",0,"belted",1,"f",20,"driver",0,4
"12186","40-54",0,"none",1,"f",78,"pass",1,4
"12190","40-54",0,"belted",0,"f",30,"driver",1,4
"12215","40-54",0,"none",0,"f",32,"driver",1,4
"12216","40-54",0,"none",0,"m",17,"pass",1,4
"12226","25-39",0,"belted",0,"m",77,"driver",0,3
"12299","25-39",0,"none",1,"f",59,"pass",0,4
"12326","25-39",0,"none",1,"m",86,"driver",0,4
"12340","25-39",0,"none",1,"f",80,"driver",1,4
"12361","40-54",0,"none",0,"m",31,"driver",0,4
"12362","40-54",0,"none",1,"m",62,"driver",0,4
"12366","25-39",0,"belted",1,"m",78,"pass",0,4
"12370","55+",0,"none",1,"m",48,"driver",0,4
"12378","55+",0,"none",1,"f",45,"driver",0,4
"12537","10-24",0,"belted",1,"f",86,"driver",0,3
"12566","10-24",0,"belted",1,"m",24,"pass",0,4
"12575","40-54",0,"belted",0,"f",41,"driver",0,4
"12578","55+",0,"belted",0,"m",23,"driver",0,4
"12600","40-54",0,"none",1,"m",91,"driver",1,4
"12601","40-54",0,"belted",1,"f",81,"pass",1,3
"12609","55+",0,"belted",0,"f",36,"driver",1,4
"12622","40-54",0,"belted",0,"f",72,"pass",0,4
"12652","25-39",0,"belted",1,"f",64,"driver",1,3
"12768","40-54",0,"none",1,"m",19,"driver",0,4
"12780","25-39",0,"none",1,"f",36,"driver",1,4
"12793","55+",0,"none",0,"m",17,"driver",0,4
"12828","55+",0,"belted",1,"m",71,"driver",0,4
"12829","25-39",0,"none",1,"m",38,"driver",0,4
"12867","25-39",0,"belted",0,"m",81,"driver",0,4
"12928","40-54",0,"belted",1,"m",34,"driver",0,4
"12929","40-54",0,"none",1,"m",51,"pass",0,4
"12966","55+",0,"belted",1,"m",17,"driver",0,4
"12997","25-39",0,"none",0,"f",16,"pass",0,4
"13005","40-54",0,"belted",0,"m",18,"pass",0,4
"13012","55+",0,"none",1,"m",22,"driver",0,4
"13017","25-39",0,"belted",1,"m",70,"driver",1,3
"13052","25-39",0,"belted",1,"m",83,"pass",0,4
"13104","10-24",0,"belted",0,"f",56,"pass",1,4
"13106","10-24",0,"none",0,"m",57,"driver",0,4
"13131","25-39",0,"none",0,"f",52,"driver",0,4
"13165","55+",0,"none",1,"m",21,"driver",0,4
"13214","55+",0,"belted",1,"m",69,"driver",0,4
"13303","25-39",0,"none",0,"f",73,"pass",0,4
"13315","40-54",0,"belted",1,"f",57,"driver",0,4
"13320","40-54",0,"none",0,"m",46,"driver",0,4
"13357","55+",0,"belted",1,"m",49,"driver",0,4
"13411","55+",0,"none",0,"m",42,"driver",0,4
"13412","55+",0,"none",0,"f",39,"pass",0,4
"13431","55+",0,"none",0,"f",53,"driver",0,4
"13485","40-54",0,"none",0,"m",23,"driver",1,4
"13487","25-39",0,"none",1,"m",25,"driver",0,4
"13488","25-39",0,"none",1,"f",26,"pass",0,4
"13608","55+",0,"belted",0,"f",26,"driver",0,4
"13609","55+",0,"belted",0,"f",54,"pass",0,4
"13651","55+",0,"belted",1,"m",42,"driver",1,3
"13664","40-54",0,"belted",0,"f",74,"driver",1,4
"13668","55+",0,"belted",0,"f",71,"driver",0,4
"13678","25-39",0,"belted",0,"f",70,"pass",0,4
"13704","55+",0,"belted",0,"f",58,"driver",0,4
"13709","40-54",0,"belted",1,"f",70,"pass",0,4
"13763","40-54",0,"none",1,"m",22,"driver",1,4
"13785","25-39",0,"none",1,"f",74,"pass",0,4
"13791","55+",0,"belted",0,"f",38,"driver",1,4
"13823","10-24",0,"none",0,"m",29,"driver",0,4
"13827","25-39",0,"belted",1,"m",79,"pass",0,4
"13833","55+",0,"belted",1,"m",63,"driver",0,4
"13842","40-54",0,"belted",1,"m",54,"driver",0,4
"13851","55+",0,"belted",1,"m",43,"driver",0,4
"13856","55+",0,"none",0,"f",64,"driver",1,4
"13861","55+",0,"none",1,"m",31,"driver",0,4
"13862","55+",0,"belted",1,"f",32,"pass",0,4
"13881","40-54",0,"belted",0,"f",21,"driver",0,4
"13903","55+",0,"belted",1,"m",53,"driver",0,4
"13914","25-39",0,"none",0,"m",23,"driver",1,4
"13942","25-39",0,"belted",1,"f",88,"driver",0,4
"13948","10-24",0,"none",1,"m",25,"driver",1,4
"13949","10-24",0,"none",1,"m",27,"pass",1,3
"14051","10-24",0,"belted",0,"f",76,"pass",0,4
"14072","25-39",0,"belted",0,"m",72,"pass",1,4
"14090","55+",0,"belted",0,"m",80,"driver",0,4
"14091","55+",0,"belted",0,"f",77,"pass",0,4
"14106","25-39",0,"none",0,"m",50,"driver",0,4
"14121","55+",0,"none",0,"m",22,"driver",0,4
"14129","40-54",0,"belted",0,"f",21,"driver",0,4
"14142","10-24",0,"none",1,"m",19,"driver",1,4
"14188","25-39",0,"belted",0,"f",23,"driver",0,4
"14205","55+",0,"none",1,"f",69,"pass",1,4
"14206","40-54",0,"belted",1,"m",45,"driver",1,4
"14207","25-39",0,"none",0,"m",30,"driver",0,4
"14218","10-24",0,"belted",0,"m",72,"driver",1,4
"14242","25-39",0,"belted",0,"m",40,"pass",0,4
"14251","25-39",0,"none",1,"f",26,"pass",0,4
"14253","10-24",0,"belted",1,"f",76,"pass",0,4
"14258","40-54",0,"belted",0,"m",21,"driver",1,4
"14285","40-54",0,"belted",1,"m",62,"driver",1,3
"14295","40-54",0,"none",1,"m",40,"driver",0,4
"14304","40-54",0,"belted",1,"m",71,"driver",1,4
"14348","40-54",0,"none",0,"f",42,"driver",0,4
"14380","55+",0,"none",1,"m",41,"pass",0,4
"14401","55+",0,"belted",0,"m",19,"driver",0,4
"14402","55+",0,"belted",0,"f",23,"pass",0,4
"14421","40-54",0,"belted",1,"f",66,"pass",0,4
"14585","40-54",0,"belted",1,"f",44,"driver",0,4
"14628","40-54",0,"none",0,"m",19,"driver",0,4
"14631","25-39",0,"belted",0,"m",81,"driver",0,4
"14679","40-54",0,"belted",0,"f",52,"driver",1,4
"14682","25-39",0,"belted",0,"f",64,"driver",0,4
"14694","55+",0,"belted",0,"m",37,"pass",1,4
"14700","10-24",0,"none",1,"f",62,"driver",1,4
"14717","40-54",0,"belted",0,"f",48,"driver",0,4
"14738","40-54",0,"belted",1,"f",45,"driver",1,4
"14742","40-54",0,"none",1,"m",54,"driver",0,4
"14756","55+",0,"belted",0,"f",27,"driver",0,4
"14771","25-39",0,"none",0,"m",52,"driver",0,4
"14784","10-24",0,"none",0,"m",31,"pass",0,4
"14804","55+",0,"none",1,"m",25,"driver",0,4
"14833","25-39",0,"none",1,"f",74,"pass",0,4
"14860","55+",0,"none",0,"m",62,"driver",0,4
"14871","40-54",0,"none",1,"f",45,"driver",1,4
"14872","25-39",0,"none",0,"m",52,"driver",0,4
"14892","55+",0,"none",0,"f",27,"driver",1,4
"14893","55+",0,"none",0,"m",32,"pass",1,4
"14915","25-39",0,"belted",0,"m",56,"driver",0,4
"14945","25-39",0,"belted",1,"m",38,"driver",1,4
"15000","25-39",0,"none",0,"m",78,"driver",0,4
"15036","40-54",0,"belted",1,"m",67,"driver",1,3
"15130","55+",0,"none",1,"m",30,"driver",1,4
"15135","40-54",0,"none",0,"f",19,"driver",0,4
"15191","40-54",0,"none",0,"m",18,"driver",0,4
"15194","55+",0,"belted",0,"m",38,"pass",0,4
"15209","25-39",0,"none",0,"m",34,"driver",1,4
"15242","55+",0,"belted",1,"m",20,"driver",1,4
"15261","10-24",0,"none",1,"f",22,"pass",0,4
"15268","55+",0,"belted",1,"m",16,"driver",0,4
"15277","40-54",0,"none",1,"f",39,"driver",0,4
"15282","55+",0,"belted",0,"m",63,"driver",0,4
"15308","25-39",0,"belted",0,"m",73,"driver",0,4
"15354","25-39",0,"none",0,"m",40,"pass",0,4
"15365","55+",0,"none",0,"m",18,"pass",0,4
"15377","25-39",0,"none",1,"m",49,"driver",0,4
"15391","55+",0,"none",1,"m",25,"driver",1,4
"15392","10-24",0,"none",1,"m",90,"driver",0,3
"15410","25-39",0,"none",0,"m",44,"driver",1,4
"15411","25-39",0,"none",0,"m",28,"driver",0,4
"15419","40-54",0,"none",0,"f",86,"driver",0,4
"15431","25-39",0,"none",0,"m",23,"pass",1,4
"15455","55+",0,"none",0,"m",27,"driver",0,4
"15456","55+",0,"none",0,"f",25,"pass",0,4
"15460","25-39",0,"none",0,"f",41,"pass",0,4
"15461","55+",0,"belted",0,"f",41,"driver",1,4
"15468","55+",0,"none",1,"m",48,"driver",1,4
"15470","25-39",0,"belted",0,"f",78,"driver",0,4
"15482","25-39",0,"belted",0,"m",37,"driver",0,4
"15488","40-54",0,"none",1,"m",47,"driver",0,4
"15489","40-54",0,"belted",1,"f",78,"driver",1,4
"15492","40-54",0,"none",0,"f",18,"pass",0,4
"15493","55+",0,"belted",1,"f",32,"driver",0,4
"15557","40-54",0,"none",1,"m",21,"driver",1,4
"15604","55+",0,"belted",1,"m",47,"driver",1,4
"15632","40-54",0,"none",1,"m",88,"driver",0,3
"15669","55+",0,"belted",0,"f",69,"driver",0,4
"15712","40-54",0,"none",0,"m",38,"driver",0,4
"15928","10-24",0,"none",0,"m",66,"driver",0,4
"15930","40-54",0,"none",0,"f",35,"pass",0,4
"15939","25-39",0,"none",0,"f",23,"pass",0,4
"15950","55+",0,"none",1,"f",22,"driver",0,4
"15951","55+",0,"none",1,"m",23,"pass",0,4
"15958","40-54",0,"belted",1,"m",41,"driver",1,4
"15964","40-54",0,"belted",0,"m",27,"driver",0,4
"15968","10-24",0,"none",1,"m",34,"driver",0,4
"16009","55+",0,"none",0,"m",22,"driver",0,4
"16015","10-24",0,"none",1,"m",30,"driver",0,4
"16038","40-54",0,"none",1,"m",44,"driver",0,4
"16050","55+",0,"none",1,"f",31,"pass",0,4
"16051","40-54",0,"none",1,"m",46,"driver",0,4
"16077","40-54",0,"none",1,"f",59,"driver",0,4
"16104","55+",0,"none",0,"m",21,"driver",0,4
"16105","55+",0,"none",0,"m",19,"pass",0,4
"16106","40-54",0,"none",1,"f",35,"driver",0,4
"16147","55+",0,"none",0,"f",32,"driver",0,4
"16195","55+",0,"none",0,"m",43,"driver",1,4
"16245","25-39",0,"belted",0,"m",53,"driver",1,4
"16271","55+",0,"none",0,"m",82,"driver",1,4
"16283","40-54",0,"none",0,"m",53,"driver",0,4
"16308","55+",0,"belted",0,"m",34,"driver",0,4
"16599","25-39",0,"belted",0,"f",78,"pass",0,4
"16616","55+",0,"belted",1,"f",64,"driver",1,4
"16625","40-54",0,"belted",0,"f",17,"driver",0,4
"16657","40-54",0,"belted",1,"m",71,"pass",1,4
"16668","55+",0,"none",1,"m",19,"pass",0,4
"16686","40-54",0,"none",1,"m",36,"driver",1,4
"16825","55+",0,"belted",0,"m",21,"driver",0,4
"16833","55+",0,"none",1,"f",50,"driver",0,4
"16874","25-39",0,"belted",0,"m",64,"pass",0,4
"16901","25-39",0,"none",1,"f",83,"pass",1,4
"16905","40-54",0,"none",1,"m",40,"driver",0,4
"16907","55+",0,"belted",0,"m",17,"pass",0,4
"16917","40-54",0,"belted",0,"f",84,"pass",0,4
"16937","40-54",0,"none",1,"f",45,"driver",0,4
"17016","40-54",0,"belted",0,"m",22,"driver",1,4
"17059","40-54",0,"belted",0,"m",18,"driver",0,3
"17060","40-54",0,"none",0,"f",17,"pass",0,3
"17062","55+",0,"none",1,"m",22,"driver",1,4
"17076","55+",0,"none",0,"m",20,"driver",1,3
"17103","55+",0,"none",1,"f",23,"driver",1,4
"17120","55+",0,"belted",0,"m",16,"pass",0,4
"17134","25-39",0,"none",0,"m",49,"driver",1,4
"17161","40-54",0,"none",0,"m",55,"driver",0,4
"17162","40-54",0,"none",0,"m",43,"pass",0,4
"17197","55+",0,"none",1,"m",27,"driver",1,4
"17220","25-39",0,"belted",0,"f",91,"pass",1,4
"17231","25-39",0,"belted",0,"f",51,"driver",1,4
"17235","25-39",0,"belted",1,"m",82,"pass",0,3
"17270","25-39",0,"none",1,"f",62,"pass",0,3
"17311","55+",0,"none",0,"m",66,"driver",1,4
"17317","25-39",0,"belted",0,"f",82,"driver",0,4
"17361","25-39",0,"none",0,"m",73,"driver",1,4
"17448","25-39",0,"belted",1,"f",49,"driver",0,4
"17450","40-54",0,"none",0,"m",85,"driver",0,4
"17485","10-24",0,"none",0,"m",26,"driver",1,4
"17515","10-24",0,"none",0,"m",55,"driver",1,4
"17525","25-39",0,"none",0,"m",76,"pass",0,4
"17529","55+",0,"none",1,"f",40,"driver",1,4
"17533","55+",0,"belted",0,"f",19,"driver",0,4
"17583","25-39",0,"belted",0,"f",67,"pass",1,4
"17605","55+",0,"none",1,"m",51,"driver",1,3
"17731","40-54",0,"belted",1,"m",82,"driver",0,4
"17759","55+",0,"belted",0,"m",20,"driver",0,4
"17771","40-54",0,"belted",1,"f",45,"pass",0,4
"17772","40-54",0,"none",1,"m",58,"driver",1,4
"17793","25-39",0,"none",0,"m",87,"pass",0,4
"17864","1-9km/h",0,"none",0,"m",37,"driver",1,4
"17975","10-24",0,"none",1,"m",51,"driver",0,4
"18046","25-39",0,"belted",1,"m",92,"driver",1,3
"18057","55+",0,"none",1,"m",59,"driver",0,4
"18082","55+",0,"belted",0,"m",22,"driver",0,4
"18101","40-54",0,"none",1,"f",40,"pass",0,4
"18104","55+",0,"belted",1,"m",55,"driver",0,4
"18110","40-54",0,"none",1,"m",36,"driver",0,4
"18111","40-54",0,"none",1,"m",33,"pass",0,4
"18128","40-54",0,"none",0,"m",19,"pass",0,4
"18129","55+",0,"none",1,"f",63,"driver",0,4
"18151","40-54",0,"belted",1,"f",27,"driver",0,4
"18236","55+",0,"belted",1,"m",34,"driver",0,4
"18246","25-39",0,"none",0,"m",35,"driver",1,4
"18248","25-39",0,"none",1,"m",21,"driver",0,4
"18267","55+",0,"belted",0,"m",19,"driver",0,4
"18268","55+",0,"belted",0,"m",19,"pass",0,4
"18277","55+",0,"belted",0,"m",29,"driver",1,4
"18330","40-54",0,"belted",0,"m",19,"driver",0,4
"18337","25-39",0,"belted",0,"m",80,"driver",0,4
"18354","40-54",0,"belted",1,"f",43,"driver",0,4
"18355","55+",0,"belted",1,"f",45,"driver",1,4
"18368","25-39",0,"none",0,"m",37,"pass",1,4
"18378","40-54",0,"belted",0,"m",25,"driver",0,3
"18392","40-54",0,"none",0,"f",19,"driver",1,4
"18412","10-24",0,"none",0,"f",69,"driver",1,4
"18434","55+",0,"none",0,"m",19,"driver",1,4
"18501","55+",0,"none",1,"m",37,"driver",0,4
"18522","40-54",0,"none",0,"m",87,"driver",0,4
"18538","55+",0,"belted",1,"m",27,"driver",0,4
"18539","55+",0,"belted",1,"m",41,"driver",0,4
"18552","10-24",0,"none",0,"m",46,"driver",0,4
"18562","55+",0,"none",1,"m",38,"driver",1,4
"18578","40-54",0,"none",1,"m",23,"pass",0,4
"18579","40-54",0,"none",0,"m",43,"driver",1,4
"18599","25-39",0,"belted",0,"f",45,"pass",1,4
"18603","25-39",0,"belted",1,"f",84,"driver",0,4
"18633","40-54",0,"none",0,"f",27,"driver",0,4
"18756","40-54",0,"belted",0,"f",81,"driver",1,4
"18811","40-54",0,"belted",0,"f",65,"driver",0,4
"18812","40-54",0,"belted",0,"m",76,"pass",0,4
"18847","40-54",0,"none",0,"f",76,"driver",1,4
"18848","55+",0,"belted",1,"f",71,"driver",0,4
"18852","10-24",0,"belted",1,"m",61,"driver",1,4
"18864","40-54",0,"none",0,"f",50,"driver",0,4
"18961","40-54",0,"none",0,"f",28,"driver",1,4
"18969","25-39",0,"none",0,"m",39,"driver",1,4
"18993","55+",0,"none",1,"m",30,"driver",1,4
"19112","25-39",0,"belted",0,"f",41,"driver",0,4
"19137","40-54",0,"belted",0,"m",18,"driver",0,4
"19138","40-54",0,"none",0,"f",17,"pass",0,4
"19154","25-39",0,"belted",0,"f",54,"driver",0,4
"19155","25-39",0,"none",0,"m",20,"driver",1,4
"19161","55+",0,"belted",0,"f",66,"driver",0,4
"19162","55+",0,"belted",0,"f",84,"pass",0,4
"19230","55+",0,"belted",0,"f",60,"driver",0,4
"19285","40-54",0,"belted",1,"f",43,"driver",1,4
"19308","10-24",0,"belted",0,"m",21,"driver",0,4
"19334","55+",0,"belted",1,"m",20,"pass",0,4
"19338","25-39",0,"none",0,"f",72,"pass",0,4
"19354","40-54",0,"none",1,"m",30,"driver",0,4
"19367","40-54",0,"none",1,"m",32,"driver",0,4
"19379","25-39",0,"none",0,"m",61,"driver",0,4
"19381","55+",0,"none",0,"m",17,"driver",1,4
"19384","25-39",0,"none",0,"m",88,"driver",1,3
"19385","25-39",0,"belted",0,"f",88,"pass",1,4
"19407","55+",0,"none",0,"m",16,"driver",0,4
"19436","55+",0,"none",0,"m",19,"driver",1,4
"19437","55+",0,"none",0,"m",20,"pass",1,4
"19451","25-39",0,"belted",0,"f",62,"pass",0,4
"19455","40-54",0,"belted",0,"m",16,"driver",1,4
"19480","10-24",0,"none",0,"f",29,"driver",0,4
"19486","40-54",0,"belted",0,"f",88,"driver",0,4
"19498","55+",0,"none",1,"m",22,"driver",1,4
"19499","55+",0,"none",1,"m",19,"pass",1,4
"19517","25-39",0,"none",1,"m",31,"pass",1,4
"19518","10-24",0,"none",1,"m",31,"driver",0,4
"19535","40-54",0,"belted",1,"m",31,"pass",0,4
"19542","25-39",0,"none",1,"m",52,"driver",0,2
"19543","55+",0,"none",1,"f",38,"driver",1,4
"19559","55+",0,"none",1,"m",58,"driver",0,4
"19565","55+",0,"none",1,"m",20,"driver",0,3
"19578","40-54",0,"belted",0,"f",18,"pass",0,4
"19604","55+",0,"none",1,"m",18,"driver",0,4
"19617","55+",0,"none",1,"m",37,"driver",0,4
"19619","55+",0,"none",1,"m",46,"driver",0,4
"19628","55+",0,"none",1,"f",32,"driver",0,4
"19632","55+",0,"none",1,"m",50,"driver",0,4
"19761","40-54",0,"none",0,"f",18,"pass",1,3
"19795","55+",0,"none",1,"f",24,"driver",1,4
"19800","40-54",0,"belted",0,"f",40,"pass",1,4
"19823","25-39",0,"belted",0,"m",30,"driver",0,4
"19860","55+",0,"belted",0,"f",32,"driver",1,4
"19927","40-54",0,"none",0,"m",21,"pass",1,4
"19932","55+",0,"none",0,"f",18,"driver",0,4
"19964","25-39",0,"belted",0,"m",20,"driver",1,4
"19965","25-39",0,"belted",0,"f",16,"pass",1,4
"19991","10-24",0,"belted",1,"m",36,"pass",1,4
"20011","10-24",0,"belted",1,"f",49,"driver",0,4
"20038","40-54",0,"belted",0,"f",34,"driver",0,4
"20047","55+",0,"none",1,"m",49,"driver",0,4
"20061","55+",0,"none",0,"f",46,"driver",0,4
"20072","25-39",0,"belted",0,"f",79,"driver",0,4
"20087","55+",0,"belted",1,"m",35,"driver",1,4
"20097","55+",0,"none",0,"f",21,"pass",0,4
"20098","55+",0,"none",1,"m",18,"driver",1,4
"20114","55+",0,"none",0,"f",21,"driver",0,3
"20136","55+",0,"none",1,"m",32,"driver",0,4
"20181","55+",0,"none",1,"f",69,"driver",0,4
"20299","55+",0,"none",0,"f",34,"driver",0,4
"20330","40-54",0,"belted",0,"f",72,"driver",0,4
"20335","55+",0,"belted",1,"f",54,"driver",1,4
"20387","25-39",0,"none",0,"f",66,"pass",0,4
"20446","55+",0,"none",1,"f",74,"pass",1,4
"20453","25-39",0,"belted",0,"m",79,"pass",1,4
"20477","10-24",0,"none",1,"m",48,"driver",1,4
"20490","55+",0,"none",1,"f",25,"driver",1,4
"20506","25-39",0,"none",1,"m",26,"driver",1,4
"20526","25-39",0,"none",0,"m",48,"driver",0,4
"20585","40-54",0,"none",1,"m",76,"pass",0,4
"20641","55+",0,"belted",1,"f",44,"driver",1,4
"20686","55+",0,"none",1,"f",52,"driver",0,4
"20738","55+",0,"belted",1,"f",34,"pass",1,4
"20778","40-54",0,"belted",0,"f",87,"driver",0,4
"20786","55+",0,"none",1,"m",30,"driver",0,4
"20795","40-54",0,"belted",1,"m",16,"driver",1,4
"20821","25-39",0,"none",1,"f",89,"pass",0,4
"20853","55+",0,"belted",1,"m",53,"driver",1,4
"20854","55+",0,"belted",1,"f",17,"driver",0,4
"20862","25-39",0,"none",1,"m",77,"driver",1,4
"20884","25-39",0,"belted",0,"f",73,"pass",0,4
"20897","10-24",0,"none",1,"m",67,"driver",0,3
"20901","40-54",0,"none",0,"m",28,"driver",0,4
"20920","40-54",0,"none",0,"m",42,"driver",0,4
"20923","10-24",0,"none",0,"f",16,"driver",0,4
"20990","55+",0,"belted",1,"m",56,"driver",1,4
"20997","55+",0,"belted",1,"m",52,"pass",1,4
"21016","25-39",0,"none",1,"m",88,"driver",0,3
"21017","25-39",0,"none",1,"f",86,"pass",0,3
"21021","25-39",0,"belted",1,"m",21,"driver",1,4
"21032","40-54",0,"belted",1,"f",87,"pass",0,4
"21078","40-54",0,"belted",0,"m",78,"driver",1,4
"21109","55+",0,"none",1,"f",18,"pass",1,4
"21122","25-39",0,"none",1,"f",20,"pass",1,4
"21135","25-39",0,"belted",0,"f",66,"pass",0,4
"21179","25-39",0,"belted",1,"f",60,"pass",0,4
"21250","40-54",0,"none",0,"m",18,"driver",1,4
"21257","55+",0,"belted",1,"m",35,"driver",1,4
"21270","55+",0,"none",1,"f",74,"driver",1,4
"21274","40-54",0,"none",0,"m",22,"driver",1,4
"21278","55+",0,"none",1,"f",27,"driver",0,4
"21287","40-54",0,"none",0,"m",17,"pass",1,4
"21325","25-39",0,"belted",1,"m",74,"pass",0,4
"21329","40-54",0,"belted",1,"m",52,"driver",1,4
"21347","40-54",0,"belted",0,"f",56,"driver",1,4
"21348","40-54",0,"belted",0,"m",65,"pass",1,4
"21434","55+",0,"belted",0,"m",19,"pass",0,4
"21466","40-54",0,"belted",0,"m",17,"driver",0,4
"21475","40-54",0,"belted",0,"m",19,"driver",0,4
"21513","55+",0,"none",0,"f",48,"driver",0,4
"21526","40-54",0,"belted",0,"m",44,"driver",1,4
"21531","40-54",0,"belted",0,"f",57,"driver",0,4
"21585","10-24",0,"none",1,"m",68,"driver",1,4
"21695","25-39",0,"none",1,"f",74,"driver",0,4
"21741","40-54",0,"none",1,"f",22,"driver",1,4
"21742","40-54",0,"none",1,"m",61,"driver",1,4
"21746","55+",0,"none",1,"m",41,"driver",0,3
"21750","10-24",0,"belted",0,"m",83,"driver",1,2
"21788","55+",0,"none",1,"f",78,"driver",1,4
